BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO;LEERWEG VMBO;VMBO SECTOR;AFDELING;EXAMENKANDIDATEN;GESLAAGDEN;GEZAKTEN;GEMIDDELD CIJFER SCHOOLEXAMEN;GEMIDDELD CIJFER CENTRAAL EXAMEN;GEMIDDELD CIJFER CIJFERLIJST
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;9;9;0;6,5;,0;6,6
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;37;36;1;6,3;,0;6,4
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij / Cultuur en Maatschappij;3;3;0;6,6;,0;6,6
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;30;30;0;6,4;,0;6,5
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek;6;6;0;6,6;,0;6,7
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;9;9;0;6,9;,0;6,9
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;1;1;0;6,9;,0;7,0
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;6;6;0;6,5;,0;6,6
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;7;7;0;7,0;,0;7,1
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;19;19;0;6,7;,0;6,7
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek;3;3;0;6,7;,0;6,8
00AH;00AH00;Opb SGM t Stedelijk Lyceum;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;24;24;0;7,1;,0;7,1
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Cultuur en Maatschappij;8;8;0;6,3;,0;6,4
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Economie en Maatschappij;22;20;2;6,4;,0;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Natuur en Gezondheid;18;18;0;6,6;,0;6,7
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;HAVO;;;Natuur en Techniek / Natuur en Gezondheid;9;8;1;6,5;,0;6,6
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VMBO;TL;Economie;;62;61;1;6,4;,0;6,4
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VMBO;TL;Techniek;;16;16;0;6,5;,0;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VMBO;TL;Zorg & Welzijn;;27;27;0;6,4;,0;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Cultuur en Maatschappij;4;4;0;7,0;,0;7,0
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij;10;10;0;6,7;,0;6,8
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Economie en Maatschappij / Cultuur en Maatschappij;4;4;0;6,3;,0;6,4
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Natuur en Gezondheid;6;6;0;6,4;,0;6,5
00AH;00AH07;locatie, Zuid;ENSCHEDE;Overijssel;VWO;;;Natuur en Techniek / Natuur en Gezondheid;16;16;0;7,0;,0;7,0
00AH;00AH08;loc, De stedelijke Mavo;ENSCHEDE;Overijssel;VMBO;TL;Economie;;34;34;0;6,4;,0;6,5
00AH;00AH08;loc, De stedelijke Mavo;ENSCHEDE;Overijssel;VMBO;TL;Techniek;;19;19;0;6,4;,0;6,4
00AH;00AH08;loc, De stedelijke Mavo;ENSCHEDE;Overijssel;VMBO;TL;Zorg & Welzijn;;36;36;0;6,4;,0;6,5
00AH;00AH09;locatie, Innova;ENSCHEDE;Overijssel;VMBO;TL;Economie;;25;25;0;6,8;,0;6,8
00AH;00AH09;locatie, Innova;ENSCHEDE;Overijssel;VMBO;TL;Techniek;;6;6;0;6,7;,0;6,8
00AH;00AH09;locatie, Innova;ENSCHEDE;Overijssel;VMBO;TL;Zorg & Welzijn;;13;13;0;7,0;,0;7,1
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Economie;EO;8;8;0;6,2;,0;6,3
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Economie;HBR;6;6;0;6,2;,0;6,3
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Techniek;BWI;3;3;0;6,8;,0;6,8
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Techniek;MVI;6;6;0;6,1;,0;6,2
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Techniek;PIE;9;9;0;6,4;,0;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;BL;Zorg & Welzijn;ZWE;26;26;0;6,5;,0;6,5
00AH;00AH17;loc, het Stedelijk Vakcollege;ENSCHEDE;Overijssel;VMBO;KL;Economie;EO;35;35;0;6,2;,0;6,3
